country;session;group;contribution;round;endowment;player;gender;age;lcp
SouthAfrica;1;2;5;18;10;3;Female;20;Others
SouthAfrica;1;2;10;18;10;4;Male;19;Conditional
SouthAfrica;1;4;9;18;10;5;Male;20;Contributor
SouthAfrica;1;3;10;18;10;6;Male;20;Contributor
SouthAfrica;1;2;26;18;30;7;Male;20;Conditional
SouthAfrica;1;1;10;18;10;8;Male;20;Contributor
SouthAfrica;1;1;10;18;10;9;Male;20;Contributor
SouthAfrica;1;3;25;18;30;10;Female;19;Conditional
SouthAfrica;1;3;21;18;30;11;Male;19;Contributor
SouthAfrica;1;1;20;18;30;12;Female;19;Conditional
SouthAfrica;1;4;18;18;30;13;Male;19;Conditional
SouthAfrica;1;4;1;18;30;14;Male;19;Contributor
SouthAfrica;1;2;26;18;30;15;Male;21;Conditional
SouthAfrica;1;1;24;18;30;16;Female;20;Contributor
SouthAfrica;1;4;7;19;10;1;Male;20;Contributor
SouthAfrica;1;3;10;19;10;2;Male;22;Contributor
SouthAfrica;1;2;5;19;10;3;Female;20;Others
SouthAfrica;1;2;10;19;10;4;Male;19;Conditional
SouthAfrica;1;4;9;19;10;5;Male;20;Contributor
SouthAfrica;1;3;10;19;10;6;Male;20;Contributor
SouthAfrica;1;2;25;19;30;7;Male;20;Conditional
SouthAfrica;1;1;9;19;10;8;Male;20;Contributor
SouthAfrica;1;1;10;19;10;9;Male;20;Contributor
SouthAfrica;1;3;25;19;30;10;Female;19;Conditional
SouthAfrica;1;3;20;19;30;11;Male;19;Contributor
SouthAfrica;1;1;19;19;30;12;Female;19;Conditional
SouthAfrica;1;4;5;19;30;13;Male;19;Conditional
SouthAfrica;1;4;30;19;30;14;Male;19;Contributor
SouthAfrica;1;2;26;19;30;15;Male;21;Conditional
SouthAfrica;1;1;26;19;30;16;Female;20;Contributor
SouthAfrica;1;4;10;20;10;1;Male;20;Contributor
SouthAfrica;1;3;10;20;10;2;Male;22;Contributor
SouthAfrica;1;2;5;20;10;3;Female;20;Others
SouthAfrica;1;2;10;20;10;4;Male;19;Conditional
SouthAfrica;1;4;10;20;10;5;Male;20;Contributor
SouthAfrica;1;3;10;20;10;6;Male;20;Contributor
SouthAfrica;1;2;25;20;30;7;Male;20;Conditional
SouthAfrica;1;1;9;20;10;8;Male;20;Contributor
SouthAfrica;1;1;6;20;10;9;Male;20;Contributor
SouthAfrica;1;3;25;20;30;10;Female;19;Conditional
SouthAfrica;1;3;20;20;30;11;Male;19;Contributor
SouthAfrica;1;1;16;20;30;12;Female;19;Conditional
SouthAfrica;1;4;20;20;30;13;Male;19;Conditional
SouthAfrica;1;4;30;20;30;14;Male;19;Contributor
SouthAfrica;1;2;26;20;30;15;Male;21;Conditional
SouthAfrica;1;1;28;20;30;16;Female;20;Contributor
SouthAfrica;2;8;5;1;30;1;Female;19;Conditional
SouthAfrica;2;7;10;1;30;2;Male;21;FreeRider
SouthAfrica;2;7;10;1;30;3;Female;22;FreeRider
SouthAfrica;2;6;20;1;30;4;Female;23;Conditional
SouthAfrica;2;7;8;1;10;5;Female;21;Others
SouthAfrica;2;6;26;1;30;6;Male;20;FreeRider
SouthAfrica;2;8;16;1;30;7;Male;20;Contributor
SouthAfrica;2;5;10;1;30;8;Male;20;Contributor
SouthAfrica;2;7;10;1;10;9;Male;21;Conditional
SouthAfrica;2;5;15;1;30;10;Male;21;FreeRider
SouthAfrica;2;5;8;1;10;11;Male;19;Conditional
SouthAfrica;2;8;4;1;10;12;Male;19;Contributor
SouthAfrica;2;8;10;1;10;13;Male;20;Contributor
SouthAfrica;2;5;10;1;10;14;Male;21;Contributor
SouthAfrica;2;6;10;1;10;15;Male;22;Conditional
SouthAfrica;2;6;10;1;10;16;Female;20;Conditional
SouthAfrica;2;8;15;2;30;1;Female;19;Conditional
